日期,Open,High,Low,Close,Volume
2023-01-03,197.68,198.0,191.97,196.37,104820
2023-01-04,194.62,194.9,192.15,193.24,196023
2023-01-05,195.46,207.77,193.8,206.3,260433
2023-01-06,205.46,216.0,204.38,211.38,183925
2023-01-09,214.83,214.83,209.9,211.35,128403
2023-01-10,211.93,221.57,209.51,219.9,182607
2023-01-11,219.07,222.12,215.46,217.6,122418
2023-01-12,219.9,223.67,218.61,220.73,111368
2023-01-13,226.57,231.3,218.79,224.07,207575
2023-01-16,223.51,229.62,221.63,228.03,168091
2023-01-17,228.2,230.94,226.35,227.46,98958
2023-01-18,229.07,230.39,226.07,229.07,73443
2023-01-19,227.31,230.73,225.56,228.11,73100
2023-01-20,228.11,231.12,226.71,231.01,107657
2023-01-30,246.22,252.43,239.61,241.37,211743
2023-01-31,240.95,245.18,236.81,238.35,139540
2023-02-01,241.56,246.21,241.28,244.79,115022
2023-02-02,245.94,246.4,238.17,238.85,134557
2023-02-03,237.68,238.9,230.67,233.35,120200
2023-02-06,231.01,231.86,224.95,230.23,107529
2023-02-07,230.17,232.01,226.93,228.85,72112
2023-02-08,229.68,231.82,227.12,228.35,73299
2023-02-09,228.35,233.23,225.18,231.56,80314
2023-02-10,231.57,233.06,227.13,227.65,83978
2023-02-13,230.45,236.33,228.24,235.46,134185
2023-02-14,240.46,240.62,227.56,230.48,128122
2023-02-15,231.62,233.79,228.79,229.12,77734
2023-02-16,231.01,232.4,223.23,226.12,100911
2023-02-17,225.46,225.46,213.23,213.34,214696
2023-02-20,211.01,214.28,205.64,213.5,168299
2023-02-21,211.83,214.62,208.79,210.46,131846
2023-02-22,207.12,209.96,205.83,207.38,123639
2023-02-23,207.68,210.53,206.23,209.47,95373
2023-02-24,208.23,208.68,204.36,205.12,99894
2023-02-27,203.64,205.17,202.18,202.73,92206
2023-02-28,204.34,206.73,202.96,204.29,93231
2023-03-01,203.85,210.0,203.81,208.67,126020
2023-03-02,207.4,208.23,200.01,202.57,161453
2023-03-03,203.4,205.3,202.12,203.41,82031
2023-03-06,203.33,207.05,197.68,206.8,166267
2023-03-07,204.35,207.12,203.14,203.35,99184
2023-03-08,202.13,203.75,199.41,200.86,81294
2023-03-09,200.01,202.83,195.59,200.46,81367
2023-03-10,203.06,207.64,199.85,205.34,191426
2023-03-13,203.81,205.82,196.57,197.68,188332
2023-03-14,197.06,197.12,189.9,195.03,184847
2023-03-15,198.23,199.76,193.02,195.46,129683
2023-03-16,193.23,196.52,192.96,193.85,101132
2023-03-17,196.01,196.56,188.51,188.78,201447
2023-03-20,187.98,193.57,184.35,190.98,158370
2023-03-21,192.23,198.89,190.29,198.67,172924
2023-03-22,201.42,206.93,200.47,201.68,176872
2023-03-23,201.01,203.19,199.03,201.22,100289
2023-03-24,201.23,203.38,196.57,198.56,117653
2023-03-27,197.18,201.35,193.47,200.18,161157
2023-03-28,198.79,200.0,196.68,198.01,75906
2023-03-29,199.46,204.5,198.25,202.22,137546
2023-03-30,202.67,203.23,200.65,202.18,86819
2023-03-31,204.62,210.45,204.62,205.48,196076
2023-04-03,205.52,205.9,199.9,201.41,167632
2023-04-04,202.12,202.12,192.02,195.46,200897
2023-04-06,193.23,196.32,191.1,195.47,105816
2023-04-07,194.43,198.79,193.43,196.85,100581
2023-04-10,198.73,203.3,195.46,203.24,172379
2023-04-11,202.13,207.61,201.01,202.1,143663
2023-04-12,202.12,202.12,197.68,197.68,87367
2023-04-13,196.57,197.32,193.79,195.6,100464
2023-04-14,195.4,203.44,195.18,200.62,159237
2023-04-17,200.08,207.68,199.79,206.5,176632
2023-04-18,206.51,212.12,206.17,207.12,140605
2023-04-19,210.18,210.37,205.46,207.88,116224
2023-04-20,207.85,207.85,199.9,199.9,158438
2023-04-21,204.62,210.41,201.57,204.9,252760
2023-04-24,204.96,205.46,198.17,200.39,173774
2023-04-25,201.01,201.01,191.01,194.29,168989
2023-04-26,194.3,209.25,191.31,205.8,397075
2023-04-27,205.3,213.78,203.61,212.3,339691
2023-04-28,215.3,218.63,208.19,212.15,271048
2023-05-04,212.3,213.8,205.85,206.82,194091
2023-05-05,206.3,211.3,205.02,208.3,167409
2023-05-08,211.3,215.09,207.36,212.11,227531
2023-05-09,211.68,211.68,205.35,207.13,196538
2023-05-10,207.1,215.55,202.51,213.82,289568
2023-05-11,213.85,224.28,212.5,221.7,347474
2023-05-12,223.29,225.86,219.28,219.28,223100
2023-05-15,222.31,225.3,216.4,219.59,267065
2023-05-16,219.7,222.27,218.07,220.3,139740
2023-05-17,220.3,222.98,217.36,221.3,182464
2023-05-18,222.6,222.67,212.34,213.7,241239
2023-05-19,213.05,215.48,211.3,211.3,194722
2023-05-22,210.3,213.8,208.3,211.6,146791
2023-05-23,212.18,213.01,206.45,206.72,196132
2023-05-24,206.1,209.81,205.02,206.55,147857
2023-05-25,206.15,208.98,203.79,205.39,137533
2023-05-26,205.5,205.8,198.8,201.3,182117
2023-05-29,203.5,203.52,196.9,198.36,165372
2023-05-30,198.3,206.29,197.31,206.29,264671
2023-05-31,206.35,208.19,201.46,202.47,188697
2023-06-01,203.94,209.3,202.81,204.2,159410
2023-06-02,206.2,211.29,205.3,209.74,231815
2023-06-05,207.2,207.2,197.69,201.1,335951
2023-06-06,199.31,203.6,198.28,200.58,172425
2023-06-07,197.68,197.8,185.75,188.6,500939
2023-06-08,194.05,194.6,188.3,189.31,238579
2023-06-09,189.85,194.43,189.85,193.34,242617
2023-06-12,193.25,195.3,190.2,193.25,181316
2023-06-13,192.31,195.23,191.98,194.4,132437
2023-06-14,198.45,198.93,194.3,194.7,163629
2023-06-15,196.29,212.18,196.19,212.18,504957
2023-06-16,213.3,215.47,209.6,212.4,296398
2023-06-19,214.29,214.29,207.3,209.18,187071
2023-06-20,209.17,212.61,207.07,209.3,179605
2023-06-21,210.11,211.8,206.2,206.21,171184
2023-06-26,201.21,208.25,200.98,206.47,159106
2023-06-27,205.28,207.6,202.48,204.77,134206
2023-06-28,203.52,207.8,203.3,205.8,135586
2023-06-29,204.81,208.21,203.8,203.8,99302
2023-06-30,205.29,211.29,201.65,210.09,215515
2023-07-03,213.25,215.25,209.85,211.18,155544
2023-07-04,209.8,211.35,208.98,210.55,101557
2023-07-05,210.56,211.71,206.8,208.81,86364
2023-07-06,208.3,209.78,205.27,206.15,102836
2023-07-07,206.1,206.15,202.9,203.55,98084
2023-07-10,204.3,211.3,204.3,210.1,160938
2023-07-11,210.95,211.29,207.88,210.39,91588
2023-07-12,209.8,210.7,207.8,208.29,86933
