日期,Open,High,Low,Close,Volume
2023-01-03,37.45,38.12,36.92,38.01,602304
2023-01-04,38.16,39.49,38.16,39.39,869496
2023-01-05,40.06,40.36,39.36,39.79,737048
2023-01-06,40.36,40.69,39.91,40.6,780346
2023-01-09,40.86,41.81,40.56,41.77,881857
2023-01-10,41.76,41.77,40.0,40.07,837949
2023-01-11,40.36,41.86,40.3,41.56,966895
2023-01-12,41.76,41.97,41.29,41.77,600256
2023-01-13,42.06,43.21,41.91,43.21,896257
2023-01-16,43.38,44.34,42.35,42.95,1229794
2023-01-17,42.82,42.93,41.86,42.36,698873
2023-01-18,42.36,42.73,42.02,42.41,419603
2023-01-19,42.26,42.73,42.01,42.67,510461
2023-01-20,42.96,43.1,42.36,42.96,497069
2023-01-30,44.45,44.46,42.34,42.34,857579
2023-01-31,42.62,43.14,41.71,41.84,612418
2023-02-01,42.41,42.61,41.27,42.21,565301
2023-02-02,42.46,42.46,41.26,41.69,636217
2023-02-03,41.36,41.41,39.76,40.46,927310
2023-02-06,39.66,39.72,38.58,39.02,921595
2023-02-07,39.36,39.7,39.06,39.56,444363
2023-02-08,39.61,40.05,39.24,39.36,347190
2023-02-09,39.36,40.41,39.25,40.18,564907
2023-02-10,40.32,40.41,39.87,40.16,309173
2023-02-13,40.05,40.16,39.15,40.11,457973
2023-02-14,40.16,40.76,40.03,40.76,370402
2023-02-15,40.7,40.75,39.57,39.74,461027
2023-02-16,39.94,40.91,39.86,40.06,576891
2023-02-17,40.06,40.69,39.57,39.66,417519
2023-02-20,39.71,40.85,39.61,40.81,664285
2023-02-21,40.72,40.98,40.31,40.87,426660
2023-02-22,40.36,40.82,39.97,40.04,446046
2023-02-23,39.86,40.56,39.67,39.84,385254
2023-02-24,39.75,39.87,38.97,39.06,446548
2023-02-27,38.86,39.25,38.64,38.66,467917
2023-02-28,38.87,39.14,38.37,39.06,380417
2023-03-01,38.88,40.86,38.87,40.85,724323
2023-03-02,40.83,41.32,40.58,41.06,380889
2023-03-03,41.34,41.52,40.71,41.14,284133
2023-03-06,40.86,41.03,39.31,39.44,773237
2023-03-07,39.41,40.06,38.61,38.77,587302
2023-03-08,38.41,38.47,37.85,38.09,527417
2023-03-09,38.24,38.24,37.33,37.5,518325
2023-03-10,36.92,37.51,36.86,36.86,457092
2023-03-13,36.86,37.65,36.77,37.36,399483
2023-03-14,37.08,37.08,36.25,36.32,490733
2023-03-15,36.89,37.52,36.64,36.81,443643
2023-03-16,35.76,36.69,35.61,36.09,789609
2023-03-17,36.67,37.82,36.67,37.06,950191
2023-03-20,36.86,37.44,36.42,36.44,719244
2023-03-21,36.75,37.26,36.64,36.87,446659
2023-03-22,37.11,37.63,37.08,37.36,552251
2023-03-23,37.16,37.75,37.16,37.74,554274
2023-03-24,37.66,37.66,36.92,37.06,437694
2023-03-27,37.12,37.19,36.36,36.85,362173
2023-03-28,36.95,37.24,36.54,36.74,283324
2023-03-29,37.19,37.44,36.26,36.28,409020
2023-03-30,36.37,36.56,35.8,36.34,450030
2023-03-31,36.46,37.16,36.24,36.46,524540
2023-04-03,36.41,36.76,36.15,36.54,451215
2023-04-04,36.53,36.72,36.09,36.43,473486
2023-04-06,36.41,36.41,35.89,35.94,361627
2023-04-07,36.15,36.64,36.01,36.49,326336
2023-04-10,36.59,37.13,36.36,36.92,527369
2023-04-11,36.88,37.16,36.49,36.52,543094
2023-04-12,36.66,36.94,36.31,36.46,460938
2023-04-13,36.16,36.23,35.67,35.98,569479
2023-04-14,36.21,36.83,36.06,36.35,428919
2023-04-17,36.19,38.34,35.88,38.34,1036161
2023-04-18,38.06,39.94,37.99,39.48,1310275
2023-04-19,39.41,39.76,39.13,39.26,497165
2023-04-20,39.27,39.81,38.98,39.65,476734
2023-04-21,39.46,39.55,37.49,37.6,811976
2023-04-24,37.74,38.61,37.06,37.26,587482
2023-04-25,37.4,37.94,36.74,36.95,617583
2023-04-26,36.72,37.11,36.52,36.65,505147
2023-04-27,37.84,41.23,37.67,41.23,2570645
2023-04-28,41.47,43.51,41.14,42.66,2149502
2023-05-04,41.63,45.21,41.45,44.56,1837641
2023-05-05,44.86,45.86,44.1,44.69,1264107
2023-05-08,44.85,45.94,44.37,45.78,1504054
2023-05-09,45.78,46.86,44.23,44.34,1461587
2023-05-10,44.34,44.72,42.97,43.17,1055610
2023-05-11,43.76,44.33,43.02,43.21,593884
2023-05-12,43.19,43.36,42.03,42.13,626681
2023-05-15,42.14,44.73,41.64,44.57,1113754
2023-05-16,44.53,44.68,43.66,44.06,644969
2023-05-17,43.65,43.71,42.44,42.77,642552
2023-05-18,42.66,43.71,42.39,42.68,555166
2023-05-19,42.07,42.56,41.66,41.9,554236
2023-05-22,41.86,42.71,41.66,42.28,498812
2023-05-23,42.26,42.53,40.76,40.76,685386
2023-05-24,40.72,40.76,39.26,39.33,713134
2023-05-25,39.24,39.61,38.76,39.26,525529
2023-05-26,39.25,39.74,38.67,39.3,403366
2023-05-29,39.49,39.61,38.66,38.9,484344
2023-05-30,38.91,39.19,38.28,38.85,570291
2023-05-31,38.56,38.65,37.86,37.86,610689
2023-06-01,37.91,38.79,37.76,38.31,518074
2023-06-02,38.74,40.06,38.69,39.96,832840
2023-06-05,39.62,39.79,39.09,39.37,466456
2023-06-06,39.2,40.79,39.11,39.62,644502
2023-06-07,40.26,40.55,39.63,39.87,425436
2023-06-08,39.78,40.82,39.54,40.53,572284
2023-06-09,40.53,40.81,40.27,40.34,428043
2023-06-12,40.32,40.8,39.75,40.43,476457
2023-06-13,40.34,40.56,39.61,40.49,440029
2023-06-14,40.93,41.27,40.23,40.41,553664
2023-06-15,40.66,41.46,40.23,40.78,473440
2023-06-16,41.06,41.2,40.46,40.96,534142
2023-06-19,40.82,40.84,39.69,39.86,642164
2023-06-20,39.86,40.11,39.16,39.25,615333
2023-06-21,38.97,39.61,38.84,39.0,381031
2023-06-26,38.66,38.73,38.06,38.29,485350
2023-06-27,38.28,38.99,38.11,38.66,480933
2023-06-28,38.51,38.91,38.29,38.9,356070
2023-06-29,38.91,39.15,38.49,38.66,265735
2023-06-30,38.56,39.23,38.55,38.76,326971
2023-07-03,38.8,40.71,38.74,40.54,697781
2023-07-04,40.55,40.59,40.06,40.31,297441
2023-07-05,40.25,40.35,39.64,39.71,264061
2023-07-06,39.39,40.52,39.38,39.66,402580
2023-07-07,39.36,40.05,39.34,39.57,364421
2023-07-10,39.99,40.05,38.87,38.97,368164
2023-07-11,39.16,39.78,39.16,39.56,268886
2023-07-12,39.56,40.31,39.44,39.65,354393
2023-07-13,40.08,41.11,40.01,40.98,648768
2023-07-14,41.38,41.45,40.77,41.0,366358
2023-07-17,40.73,40.81,40.24,40.41,304707
2023-07-18,40.64,40.65,39.82,39.96,283183
2023-07-19,39.66,40.22,39.66,40.13,321116
2023-07-20,40.26,40.56,39.68,39.78,301378
2023-07-21,39.67,40.11,39.16,39.33,446791
2023-07-24,39.16,39.35,38.86,38.98,315980
2023-07-25,40.06,42.04,40.06,41.91,1413279
2023-07-26,41.54,42.0,41.34,41.82,515441
2023-07-27,41.95,42.94,41.77,42.24,703735
2023-07-28,41.86,44.72,41.77,44.29,1277908
2023-07-31,45.34,46.04,44.66,44.96,1274855
2023-08-01,44.86,45.36,43.8,44.1,670614
2023-08-02,43.96,44.92,43.29,43.77,608798
2023-08-03,43.77,44.96,43.47,44.77,654944
2023-08-04,45.59,46.21,44.26,44.26,1051653
2023-08-07,43.74,44.13,43.56,44.06,436896
2023-08-08,43.83,44.05,42.82,43.62,523263
2023-08-09,43.44,43.94,43.31,43.62,372853
2023-08-10,43.41,43.83,43.24,43.72,299263
2023-08-11,43.66,43.77,41.71,41.73,748921
2023-08-14,40.66,41.18,40.64,40.89,604721
2023-08-15,40.88,41.44,40.38,41.04,521837
2023-08-16,40.68,41.3,40.49,40.71,476604
2023-08-17,40.37,40.54,39.69,40.27,598274
2023-08-18,40.26,41.36,39.88,39.88,636663
2023-08-21,39.76,39.85,39.03,39.03,628081
2023-08-22,39.26,39.66,38.83,39.36,518495
2023-08-23,39.08,39.46,38.75,38.82,476239
2023-08-24,38.89,39.37,38.55,38.86,418637
2023-08-25,38.67,39.74,38.61,39.37,417635
2023-08-28,42.86,42.89,40.14,40.47,1090108
2023-08-29,40.4,41.33,40.25,40.92,573806
2023-08-30,41.24,41.35,40.26,40.61,600123
2023-08-31,40.99,41.91,40.87,41.15,639538
2023-09-01,41.71,42.86,41.62,42.46,855756
2023-09-04,42.81,44.26,42.8,43.81,921931
2023-09-05,43.56,43.56,42.49,42.56,506244
2023-09-06,42.36,43.55,42.24,43.39,514362
2023-09-07,43.07,43.24,42.52,42.58,403291
2023-09-08,42.39,42.81,42.16,42.48,273667
2023-09-11,42.74,43.13,42.21,42.72,491515
2023-09-12,42.46,42.51,41.85,42.31,361144
2023-09-13,42.5,42.58,41.58,41.86,433989
2023-09-14,42.0,42.16,41.35,41.55,391312
2023-09-15,41.85,42.48,41.36,41.56,557532
2023-09-18,41.28,41.84,41.06,41.66,295267
2023-09-19,41.64,41.71,41.38,41.64,266524
2023-09-20,41.62,41.62,40.94,41.25,328733
2023-09-21,41.06,41.22,40.73,40.85,335480
2023-09-22,40.86,42.69,40.73,42.69,663006
2023-09-25,42.37,42.46,41.39,41.42,499759
2023-09-26,41.41,41.7,40.88,40.92,400930
2023-09-27,40.96,41.35,40.86,41.02,324863
2023-09-28,41.19,41.24,40.51,40.66,421466
2023-10-09,40.36,40.63,39.88,40.43,394012
2023-10-10,40.64,40.89,39.88,39.96,330777
2023-10-11,40.21,40.33,39.87,40.05,325297
2023-10-12,41.23,41.25,40.57,40.79,448710
2023-10-13,40.23,40.64,40.03,40.33,261270
2023-10-16,40.21,40.49,39.77,39.9,319003
2023-10-17,40.16,40.34,39.82,40.04,270142
2023-10-18,39.87,40.13,39.74,39.75,325690
2023-10-19,39.47,39.52,38.37,38.41,694085
2023-10-20,37.96,38.45,37.91,38.2,481776
2023-10-23,38.15,38.56,37.86,38.3,387068
2023-10-24,38.39,38.86,38.04,38.46,432311
2023-10-25,39.27,39.29,38.72,38.8,374463
2023-10-26,38.59,39.09,38.54,38.99,280986
2023-10-27,38.48,38.83,37.84,38.47,618850
2023-10-30,38.48,38.78,38.1,38.6,455498
2023-10-31,38.71,39.22,38.47,38.75,423089
2023-11-01,39.08,39.17,38.31,38.4,378012
2023-11-02,38.5,38.88,38.3,38.35,292248
2023-11-03,38.48,38.6,38.18,38.53,386407
2023-11-06,38.89,39.46,38.8,39.35,562463
2023-11-07,39.17,39.19,38.53,38.59,520543
2023-11-08,38.59,38.72,37.84,37.92,703734
2023-11-09,37.29,37.49,36.15,36.57,1504542
2023-11-10,36.19,36.19,35.32,35.64,1049965
2023-11-13,35.59,35.73,35.35,35.68,493091
2023-11-14,35.84,36.1,35.68,35.9,558200
2023-11-15,36.41,36.9,36.17,36.65,728706
2023-11-16,36.42,36.64,36.06,36.16,386089
2023-11-17,35.92,36.11,35.62,35.95,404728
2023-11-20,36.0,36.34,35.77,36.2,324987
2023-11-21,36.2,36.84,36.2,36.36,432503
2023-11-22,36.24,36.34,36.0,36.02,249251
2023-11-23,35.98,36.34,35.8,36.34,263803
2023-11-24,36.29,36.32,35.92,35.98,280449
2023-11-27,35.89,35.93,34.9,35.14,585460
2023-11-28,35.09,35.35,34.87,34.96,372261
2023-11-29,34.96,35.02,33.79,34.04,679047
2023-11-30,33.96,34.36,33.91,34.09,388572
2023-12-01,33.94,34.47,33.59,34.31,486961
2023-12-04,34.14,34.56,33.6,33.67,399870
2023-12-05,33.41,33.46,32.8,32.82,506428
2023-12-06,32.79,33.04,32.58,32.82,433324
2023-12-07,32.65,33.01,32.17,32.63,501004
2023-12-08,32.54,32.92,32.48,32.48,378912
2023-12-11,32.29,33.0,31.85,32.89,555114
2023-12-12,32.71,33.1,32.54,33.08,358213
2023-12-13,32.99,32.99,32.18,32.18,412856
2023-12-14,32.52,32.76,31.98,31.99,332368
2023-12-15,32.44,32.85,32.02,32.08,507912
2023-12-18,31.69,32.14,31.6,31.9,329987
2023-12-19,31.87,32.27,31.69,32.0,332249
2023-12-20,32.0,32.19,31.72,31.74,299482
2023-12-21,31.55,32.26,31.42,32.09,424163
2023-12-22,32.05,32.67,31.97,32.39,424737
2023-12-25,32.34,32.57,32.2,32.47,203255
2023-12-26,32.47,32.47,32.11,32.39,199146
2023-12-27,32.39,32.45,31.97,32.29,295938
2023-12-28,32.29,33.64,32.14,33.55,609526
2023-12-29,33.35,33.73,33.34,33.59,341078
2024-01-02,33.59,33.6,32.75,32.76,437592
2024-01-03,32.76,32.95,32.48,32.69,363822
2024-01-04,32.65,32.87,31.95,32.19,467392
2024-01-05,32.14,32.87,31.97,32.26,499202
2024-01-08,32.26,32.46,31.51,31.74,514732
2024-01-09,31.74,31.87,31.49,31.67,370651
2024-01-10,31.58,31.74,31.11,31.11,441304
2024-01-11,31.09,31.95,30.91,31.72,381571
2024-01-12,31.48,31.83,31.32,31.32,303001
